gpsDate,latitude,longitude,Power_Mode,Fuel_Consum,GD_Engine_Temp,Steering_Angle_Speed,Transmission_Type,Vehicle_Speed,Engine_Speed,Brake_Control_Volume,Radar_Cruise_State,Streering_Angle_Degree,Odometer_Reading,Hood_Courtesy,Passenger_AC_Value,Driver_AC_Value,Fuel_Gauge,Rear_Fog_Light,Front_Fog_Light,Lounge_Illum_Light,Front_Dome_Light,Slide_Roof,Passenger_Window_State,RR_Window_State,Driver_Window_State,RL_Window_State,AccelFB,AccelLR,Inlet_Switch_Indicator,AC_Blower_Level,WhilteLine_Left,LKA_Steering_Support,WhilteLine_Right
2017-03-09T00:01:00,35.070178,-110.8343576,0,0.171,92.5,0.732,1,0,699.21875,0,1,12,1694,,,,,,,,,,,,,,-0.17946,-0.07183,,,,,
2017-03-09T00:01:01,35.070178,-110.8343598,0,0.163,92.5,0.732,1,0,699.21875,0,1,12,,,,,,,,,,,,,,,,,,,0,0,0
2017-03-09T00:01:02,35.070178,-110.8343598,0,0.1715,92.5,0.732,1,0,696.875,0,1,12,1694,,69,72,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:03,35.070178,-110.8343598,0,0.1645,92.5,0.732,1,0,700,0,1,12,1694,,,,,,,3,1,,,,,,,,,,,,
2017-03-09T00:01:04,35.070178,-110.8343598,0,0.1715,92.5,0.732,1,0,708.59375,0,1,12,,,,,203,0,0,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:05,35.070178,-110.8343598,0,0.171,92.5,0.732,1,0,708.59375,0,1,12,1694,,,,,,,,,,,,,,,,,,,,
2017-03-09T00:01:06,35.070178,-110.8343598,0,0.1705,92.5,0.732,1,0,712.5,0,1,12,,,,,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:07,35.070178,-110.8343598,0,0.172,92.5,0.732,1,0,709.375,0,1,12,1694,,69,72,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:08,35.070178,-110.8343598,0,0.164,92.5,0.732,1,0,701.5625,0,1,12,1694,,,,,,,,,,,,,,,,,,,,
2017-03-09T00:01:09,35.070178,-110.8343598,0,0.164,,0.732,1,0,694.53125,0,1,12,,0,,,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:10,35.070178,-110.8343598,0,0.164,92.5,0.732,1,0,692.96875,0,1,12,1694,,,,,,,,,,,,,,-0.17946,-0.07183,,,0,0,0
2017-03-09T00:01:11,35.070178,-110.8343598,0,0.174,92.5,0.732,1,0,698.4375,0,1,12,1694,,,,,,,,,,,,,,,,,,,,
2017-03-09T00:01:12,35.0701801,-110.8343598,0,0.1635,92.5,0.732,1,0,691.40625,0,1,12,,,,,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:13,35.0701801,-110.8343598,,0.163,92.5,0.732,1,0,690.625,0,1,12,1694,,69,72,,,,,,,,,,,,,,,0,0,0
2017-03-09T00:01:14,35.0701801,-110.8343598,0,0.1705,92.5,0.732,1,0,699.21875,0,1,12,1694,,,,203,0,0,3,1,,,,,,-0.17946,-0.07183,,,0,0,0
2017-03-09T00:01:15,35.0701801,-110.8343598,0,0.1615,92.5,0.732,1,0,704.6875,0,1,12,,,,,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:16,35.0701801,-110.8343598,0,0.163,92.5,0.732,1,0,710.9375,0,1,12,1694,,,,,,,,,,,,,,,,,,0,0,0
2017-03-09T00:01:17,35.0701801,-110.8343598,0,0.172,92.5,0.732,1,0,707.03125,0,1,12,1694,,,,,,,,,,,,,,-0.14357,-0.07183,,,,,
2017-03-09T00:01:18,35.0701801,-110.8343598,0,0.1715,92.5,0.732,1,0,712.5,0,1,12,,,,,,,,,,,,,,,-0.17946,-0.03594,,,0,0,0
2017-03-09T00:01:19,35.0701801,-110.8343598,0,0.17,92.5,0.732,1,0,702.34375,0,1,12,1694,0,69,72,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:20,35.0701801,-110.8343598,0,0.1695,92.5,0.732,1,0,701.5625,0,1,12,1694,,,,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:21,35.0701801,-110.8343598,0,0.163,,0.732,1,0,697.65625,0,1,12,,,,,,,,,,,,,,,,,,,0,0,0
2017-03-09T00:01:22,35.0701801,-110.8343598,0,0.162,92.5,0.732,1,0,703.90625,0,1,12,1694,,,,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:23,35.0701801,-110.8343598,0,0.161,92.5,0.732,1,0,701.5625,0,1,12,1694,,,,,,,,,,,,,,,,,,0,0,0
2017-03-09T00:01:24,35.0701801,-110.8343598,0,0.17,92.5,0.732,1,0,695.3125,0,1,12,,,,,,0,0,3,1,,,,,,-0.17946,-0.07183,,,,,
2017-03-09T00:01:25,35.0701801,-110.8343598,0,0.163,92.5,0.732,1,0,698.4375,0,1,12,1694,,69,72,,,,,,,,,,,-0.17946,-0.07183,,,0,0,0
2017-03-09T00:01:26,35.0701801,-110.8343598,0,0.165,92.5,0.732,1,0,697.65625,0,1,12,,,,,,,,,,,,,,,,,,,0,0,0
2017-03-09T00:01:27,35.0701801,-110.8343598,0,0.163,92.5,0.732,1,0,696.875,0,1,12,1694,,,,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:28,35.0701801,-110.8343598,0,0.1705,92.5,0.732,1,0,695.3125,0,1,12,1694,,,,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:29,35.0701801,-110.8343598,0,0.163,92.5,0.732,1,0,703.125,0,1,12,,,,,,,,,,,,,,,,,,,0,0,0
2017-03-09T00:01:30,35.0701801,-110.834362,0,0.1615,92.5,0.732,1,0,703.125,0,1,12,1694,0,,,,,,,,,,,,,-0.17946,-0.07183,,,,,
2017-03-09T00:01:31,35.0701801,-110.834362,0,0.1725,92.5,0.732,1,0,706.25,0,1,12,1694,,69,72,,,,,,,,,,,-0.17946,-0.07183,,,0,0,0
2017-03-09T00:01:32,35.0701801,-110.834362,0,0.17,92.5,0.732,1,0,706.25,0,1,12,,,,,,,,,,,,,,,-0.17946,-0.07183,,,0,0,0
2017-03-09T00:01:33,35.0701801,-110.834362,0,0.172,92.5,0.732,1,0,700,0,1,12,1694,,,,,,,,,,,,,,,,,,0,0,0
2017-03-09T00:01:34,35.0701801,-110.834362,0,0.162,92.5,0.732,1,0,709.375,0,1,12,1694,,,,203,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:35,35.0701801,-110.834362,0,0.169,92.5,0.732,1,0,699.21875,0,1,12,,,,,,0,0,3,1,,,,,,,,,,0,0,0
2017-03-09T00:01:36,35.0701801,-110.834362,0,0.1625,92.5,0.732,1,0,698.4375,0,1,12,1694,,69,72,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:37,35.0701801,-110.834362,0,0.172,,0.732,1,0,700,0,1,12,1694,,,,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:38,35.0701801,-110.834362,0,0.163,92.5,0.732,1,0,700.78125,0,1,12,,,,,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:39,35.0701801,-110.834362,0,0.1635,92.5,0.732,1,0,705.46875,0,1,12,1694,,,,,,,,,,,,,,-0.17946,-0.07183,,,,,
2017-03-09T00:01:40,35.0701801,-110.834362,0,0.1605,92.5,0.732,1,0,702.34375,0,1,12,1694,,,,,,,,,,,,,,,,,,0,0,0
2017-03-09T00:01:41,35.0701801,-110.834362,0,0.164,92.5,0.732,1,0,699.21875,0,1,12,,0,,,,,,,,,,,,,-0.14357,-0.03594,,,,,
2017-03-09T00:01:42,35.0701801,-110.834362,0,0.173,92.5,0.732,1,0,705.46875,0,1,12,1694,,69,72,,,,,,,,,,,-0.14357,-0.10772,,,0,0,0
2017-03-09T00:01:43,35.0701801,-110.834362,0,0.1695,92.5,0.732,1,0,702.34375,0,1,12,1694,,,,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:44,35.0701801,-110.834362,0,0.1735,92.5,0.732,1,0,707.03125,0,1,12,,,,,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:45,35.0701801,-110.834362,0,0.1705,92.5,0.732,1,0,704.6875,0,1,12,1694,,,,,,,,,,,,,,,,,,,,
2017-03-09T00:01:46,35.0701801,-110.834362,0,0.172,92.5,0.732,1,0,696.875,0,1,12,1694,,,,,0,0,3,1,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:47,35.0701801,-110.834362,0,0.1615,92.5,0.732,1,0,701.5625,0,1,12,,,,,,,,,,,,,,,,,,,,,
2017-03-09T00:01:48,35.0701801,-110.834362,0,0.172,92.5,0.732,1,0,700.78125,0,1,12,1694,,69,72,,,,,,,,,,,-0.14357,-0.03594,,,0,0,0
2017-03-09T00:01:49,35.0701801,-110.834362,0,0.163,92.5,0.732,1,0,700,0,1,12,1694,,,,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:50,35.0701801,-110.834362,0,0.162,92.5,0.732,1,0,702.34375,0,1,12,,,,,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:51,35.0701801,-110.834362,0,0.172,92.5,0.732,1,0,701.5625,0,1,12,1694,0,,,,,,,,,,,,,,,,,0,0,0
2017-03-09T00:01:52,35.0701801,-110.834362,0,0.172,92.5,0.732,1,0,703.90625,0,1,12,1694,,,,,,,,,,,,,,-0.14357,-0.07183,,,0,0,0
2017-03-09T00:01:53,35.0701801,-110.834362,0,0.163,92.5,0.732,1,0,700.78125,0,1,12,,,,,,,,,,,,,,,,,,,0,0,0
